Date,PositiveReturn,PredictedValue,PredictedMinusActual,EquityPriceLevel,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2019-01-22,0,0,0,250.7924042,-0.013510332,0.048951049,0.034246575,0.02688172,0.060283688,0.036026201,-0.0,1.0218130896232833,1.0150689195003717
2019-01-23,1,0,-1,251.3171692,0.002092428,0.0,0.0,0.005235602,0.0,0.001053741,0.0,1.0218130896232833,1.0171928781294641
2019-01-24,1,1,0,251.4507294,0.000531441,0.013333333,0.006622517,0.005208333,0.010033445,0.013684211,0.000531441,1.0223561229934457,1.0177334561298101
2019-01-25,1,0,-1,253.5783386,0.008461336,-0.01754386,-0.006578947,-0.005181347,-0.023178808,-0.007268951,0.0,1.0223561229934457,1.0263448408605658
2019-01-28,0,0,0,251.651123,-0.00760008,-0.017857143,-0.006622517,-0.010416667,-0.030508475,-0.009414226,-0.0,1.0223561229934457,1.0185445379624383
2019-01-29,0,1,1,251.3171692,-0.001327051,-0.002272727,-0.013333333,-0.010526316,-0.006993007,0.003167899,-0.001327051,1.0209994042780712,1.0171928774147907
2019-01-30,1,0,-1,255.2956848,0.015830656,0.01594533,0.0,0.0,0.021126761,0.009473684,0.0,1.0209994042780712,1.0332957079427942
2019-01-31,1,1,0,257.5378418,0.008782589,0.02690583,0.0,0.0,0.031034483,0.025026069,0.008782589,1.0299664224150904,1.0423707194611198
2019-02-01,1,1,0,257.6618347,0.000481455,0.030567686,0.006756757,0.005319149,0.030100334,0.026449644,0.000481455,1.0304623048989943,1.042872574055858
2019-02-04,1,1,0,259.4746704,0.007035717,0.025423729,0.0,0.005291005,0.035714286,0.015857284,0.007035717,1.0377123460554312,1.0502099303539765
2019-02-05,1,0,-1,260.5622864,0.004191608,0.055785124,0.020134228,0.021052632,0.065830721,0.048780488,0.0,1.0377123460554312,1.0546119986997275
2019-02-06,0,1,1,260.218811,-0.001318208,0.021526419,0.013157895,0.010309278,0.026470588,0.018604651,-0.001318208,1.036344425339162,1.0532218007261456
2019-02-07,0,1,1,257.7382507,-0.009532594,0.024904215,0.006493506,0.005102041,0.028653295,0.016438356,-0.009532594,1.0264653746882406,1.0431818649078743
2019-02-08,1,1,0,258.053009,0.001221232,0.003738318,0.006451613,0.005076142,0.008356546,0.001796945,0.001221232,1.027718927050702,1.0444558319831196
2019-02-11,1,1,0,258.196167,0.000554762,0.001862197,0.006410256,0.01010101,0.002762431,-0.001793722,0.000554762,1.0282890664581104,1.045035256389382
