RunDate,PeriodEndDate,FeatureLag,n_estimators,max_depth,max_features,random_state,verbose,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Sortino Ratio,Alpha,Beta
10/23/2021,10/1/2021,36,477,2988,3,0,0,0.269670436,0.184207496,1.388888966,2.190595829,-0.123103693,2.096445642,0.111697092,0.657858575
10/23/2021,10/1/2021,37,477,2988,3,0,0,0.059629483,0.167632416,0.430188223,0.283698795,-0.210185889,0.577207065,-0.050439796,0.543475618
10/23/2021,10/1/2021,38,477,2988,3,0,0,0.102971806,0.18345443,0.627365621,0.353470103,-0.291316874,0.825530314,-0.032720114,0.65094557
10/23/2021,10/1/2021,39,477,2988,3,0,0,0.211965017,0.192290886,1.096553091,1.046614554,-0.202524431,1.564123732,0.048825663,0.715985372
10/23/2021,10/1/2021,40,477,2988,3,0,0,0.166737923,0.190033042,0.906667336,0.652580873,-0.255505379,1.320129754,0.013116248,0.698802875
10/23/2021,10/1/2021,41,477,2988,3,0,0,0.142813914,0.182639411,0.822654133,0.55509843,-0.257276738,1.148116236,0.003190133,0.645267045
10/23/2021,10/1/2021,42,477,2988,3,0,0,0.062942326,0.1637203,0.455466226,0.229617958,-0.274117609,0.603662457,-0.042637069,0.518349673
10/23/2021,10/1/2021,43,477,2988,3,0,0,0.024712663,0.179960628,0.22706249,0.06463334,-0.382351627,0.290044867,-0.096974631,0.626761236
10/23/2021,10/1/2021,44,477,2988,3,0,0,0.154750646,0.192336099,0.844896777,0.457452209,-0.338288115,1.177492083,-0.000630574,0.71578085
10/23/2021,10/1/2021,45,477,2988,3,0,0,0.093995757,0.196056811,0.557232552,0.255183657,-0.368345521,0.752412485,-0.05845383,0.743594289
10/23/2021,10/1/2021,46,477,2988,3,0,0,0.101824885,0.191038296,0.604233671,0.296299548,-0.343655214,0.80539728,-0.04445109,0.7059616
10/23/2021,10/1/2021,47,477,2988,3,0,0,0.120137591,0.16791897,0.759568652,0.749339336,-0.160324682,1.088736003,0.00328981,0.545217663
