RunDate,PeriodEndDate,FeatureLag,n_estimators,max_depth,max_features,random_state,verbose,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Sortino Ratio,Alpha,Beta
10/22/2021,10/1/2021,40,500,5000,auto,0,0,0.06321417,0.190473999,0.417023004,0.307548561,-0.205542077,0.593330227,-0.077389533,0.701882579
10/22/2021,10/1/2021,41,500,5000,auto,0,0,0.178559505,0.169820272,1.053244159,0.677670262,-0.263490248,1.450079094,0.053048965,0.557966581
10/22/2021,10/1/2021,42,500,5000,auto,0,0,0.095649051,0.167310766,0.630261887,0.397956376,-0.240350592,0.860024985,-0.01775098,0.54125927
10/22/2021,10/1/2021,43,500,5000,auto,0,0,0.087012205,0.170366902,0.57542557,0.324645916,-0.26802187,0.785454431,-0.029444792,0.561263981
10/22/2021,10/1/2021,44,500,5000,auto,0,0,0.169118644,0.189352749,0.920415711,0.712404386,-0.237391357,1.306470619,0.01628384,0.6938212
10/22/2021,10/1/2021,45,500,5000,auto,0,0,0.101533516,0.185831974,0.614770308,0.291474347,-0.348344604,0.802336804,-0.037280564,0.66795296
10/22/2021,10/1/2021,46,500,5000,auto,0,0,0.144560063,0.194068322,0.793879393,0.61495376,-0.235074688,1.081574568,-0.0119384,0.728688826
10/22/2021,10/1/2021,47,500,5000,auto,0,0,0.24906279,0.169619232,1.395790596,2.290434105,-0.10874043,2.202469344,0.115912572,0.557481153
10/22/2021,10/1/2021,48,500,5000,auto,0,0,0.057242575,0.188117532,0.391598524,0.158664136,-0.360778288,0.495254151,-0.079080921,0.68463407
10/22/2021,10/1/2021,49,500,5000,auto,0,0,0.117163533,0.14938325,0.816781597,0.782764766,-0.149679109,1.135745296,0.024002436,0.431278515
10/22/2021,10/1/2021,50,500,5000,auto,0,0,0.275600144,0.172815605,1.494764759,2.232054923,-0.123473729,2.419995548,0.134619178,0.579127306
10/22/2021,10/1/2021,51,500,5000,auto,0,0,0.091234666,0.170062801,0.59871447,0.452021291,-0.201837098,0.834748363,-0.025316056,0.559250416
10/22/2021,10/1/2021,52,500,5000,auto,0,0,-0.0107918,0.175444053,0.027582154,-0.026602393,-0.405670276,0.034508458,-0.122843182,0.596171539
10/22/2021,10/1/2021,53,500,5000,auto,0,0,0.0731935,0.182541572,0.479241772,0.364654095,-0.200720358,0.643105778,-0.057689868,0.644527246
10/22/2021,10/1/2021,54,500,5000,auto,0,0,0.070793346,0.170923628,0.48687781,0.258825323,-0.273517849,0.63607943,-0.044532826,0.564997811
10/22/2021,10/1/2021,55,500,5000,auto,0,0,-0.00369636,0.168334801,0.062770546,-0.010818563,-0.341668289,0.08306138,-0.10820827,0.548734651
10/22/2021,10/1/2021,56,500,5000,auto,0,0,0.164972089,0.173452709,0.966742875,1.180382234,-0.139761583,1.506293342,0.035653682,0.582018677
10/22/2021,10/1/2021,57,500,5000,auto,0,0,0.219872661,0.180512407,1.191802541,1.116462964,-0.196936815,1.71519206,0.07391926,0.630990712
10/22/2021,10/1/2021,58,500,5000,auto,0,0,0.122379458,0.184429634,0.71814263,0.589551196,-0.207580714,1.065729881,-0.017349562,0.657921165
10/22/2021,10/1/2021,59,500,5000,auto,0,0,0.060394409,0.177946296,0.419122866,0.196485987,-0.307372601,0.573287714,-0.062954868,0.612503596
10/22/2021,10/1/2021,60,500,5000,auto,0,0,0.089072155,0.187783865,0.549533478,0.317940095,-0.280153892,0.729338854,-0.050925425,0.682088391
10/22/2021,10/1/2021,61,500,5000,auto,0,0,0.166364481,0.189689539,0.906664843,0.677774721,-0.245456899,1.288059271,0.013384395,0.696273126
10/22/2021,10/1/2021,62,500,5000,auto,0,0,0.043047492,0.179287357,0.324952319,0.132815919,-0.324113954,0.453002367,-0.080102541,0.621903202
10/22/2021,10/1/2021,63,500,5000,auto,0,0,0.183617798,0.181979107,1.017739592,0.732766451,-0.250581611,1.456423541,0.039913303,0.640892431
10/22/2021,10/1/2021,64,500,5000,auto,0,0,0.136680421,0.189973348,0.770699411,0.369500942,-0.369905472,1.031205324,-0.012631505,0.698182274
10/22/2021,10/1/2021,65,500,5000,auto,0,0,0.242949362,0.179676551,1.301108563,1.156501393,-0.210072693,1.877232798,0.09549777,0.625475906
10/22/2021,10/1/2021,66,500,5000,auto,0,0,0.178714929,0.181342982,0.998273494,0.884518777,-0.202047638,1.411625843,0.036646381,0.636370931
10/22/2021,10/1/2021,67,500,5000,auto,0,0,0.12392293,0.190169492,0.710355026,0.363053277,-0.341335384,0.970048539,-0.02406164,0.69957992
10/22/2021,10/1/2021,68,500,5000,auto,0,0,0.101543897,0.168929951,0.657693007,0.474299868,-0.21409219,0.890436151,-0.014551357,0.551800657
10/22/2021,10/1/2021,69,500,5000,auto,0,0,-0.044785143,0.174798516,-0.172624531,-0.114845459,-0.389960068,-0.20794074,-0.152327234,0.592474416
10/22/2021,10/1/2021,70,500,5000,auto,0,0,0.302189953,0.152257557,1.810614281,3.178783549,-0.095064652,2.924725129,0.18891524,0.450081778
10/22/2021,10/1/2021,71,500,5000,auto,0,0,0.140320019,0.178158968,0.827310927,0.487549948,-0.287806448,1.112171007,0.007497138,0.613937362
10/22/2021,10/1/2021,72,500,5000,auto,0,0,0.110257114,0.185214877,0.658771338,0.307532377,-0.35852197,0.869205855,-0.028789511,0.66352251
10/22/2021,10/1/2021,73,500,5000,auto,0,0,0.225463166,0.172386821,1.265014532,2.320236665,-0.097172486,2.068393668,0.090783048,0.57549022
10/22/2021,10/1/2021,74,500,5000,auto,0,0,0.125947665,0.18816586,0.725406246,0.542315089,-0.232240753,1.008448385,-0.019410134,0.684900493
10/22/2021,10/1/2021,75,500,5000,auto,0,0,0.06461368,0.18052628,0.437511559,0.281467406,-0.229560078,0.608291244,-0.062651538,0.630393847
10/22/2021,10/1/2021,76,500,5000,auto,0,0,0.065938001,0.182118987,0.441843641,0.219771541,-0.300029754,0.616253631,-0.063647132,0.641574529
10/22/2021,10/1/2021,77,500,5000,auto,0,0,0.275497682,0.188950449,1.38340272,1.286227422,-0.21419049,2.028500056,0.109154041,0.692266305
10/22/2021,10/1/2021,78,500,5000,auto,0,0,0.219805782,0.165262461,1.285740614,0.779214233,-0.282086456,1.840768747,0.096306644,0.528805181
10/22/2021,10/1/2021,79,500,5000,auto,0,0,0.061527259,0.170355288,0.436620043,0.219644348,-0.280122207,0.586050359,-0.052140892,0.561288382
10/22/2021,10/1/2021,80,500,5000,auto,0,0,0.197797163,0.179279186,1.096810015,1.249429011,-0.158310045,1.598371699,0.056369027,0.622133871
10/22/2021,10/1/2021,81,500,5000,auto,0,0,0.023765037,0.185925251,0.219783427,0.086760142,-0.273916534,0.29767491,-0.105636181,0.669035934
10/22/2021,10/1/2021,82,500,5000,auto,0,0,0.108382052,0.194060293,0.628473024,0.293248067,-0.3695917,0.833900411,-0.043120803,0.728509544
10/22/2021,10/1/2021,83,500,5000,auto,0,0,0.102835625,0.18704504,0.617458362,0.342956905,-0.299849991,0.849902449,-0.038000966,0.676715159
10/22/2021,10/1/2021,84,500,5000,auto,0,0,0.001397466,0.18149642,0.099736943,0.004437947,-0.314890206,0.1291086,-0.119525894,0.63781035
