FeatureLag,n_estimators,min_samples_split,max_features,max_depth
1,263.9291916060407,13.938175177286562,1.6403990645294486,1376.3964809339177
2,247.98016782872705,16.541408096597515,1.2060453783110545,1358.0976668587841
3,360.9124043814006,10.84519164506473,1.3684762594679065,2120.88646560819
4,303.0964742904027,12.6498293197253,1.4893561757289013,1835.9489149161582
5,277.54596670887446,11.771305635469515,1.3751033019046572,2022.2060860717077
6,291.1642460567887,5.258758927213288,1.537412229571615,975.7719368414283
7,274.4321741010303,3.951984541743783,1.1677484162422844,1581.9071631190222
8,306.202309830371,7.39287125916213,1.3751033019046572,1737.9736058253172
9,337.2284361998824,6.2304238875201605,1.5782614139961386,1233.080458924647
10,322.93509057900894,6.971370023173351,1.5491933384829666,1843.2739055574705
11,346.82369112745556,9.33906750260334,1.044465935734187,1685.1778001688185
12,298.6525801602317,16.068602926203635,1.1908743922772957,1607.528973300326
13,236.76816432190293,7.938399197456739,1.2862913567871996,2050.9691589365966
14,232.2620776779385,17.77280864896506,1.4142135623730951,1640.621777918914
15,287.64937621410485,11.396969294111004,1.4459976109624424,1871.2326078623344
16,335.05798684027,9.130368906218212,1.572490786213793,1919.4260505777145
17,168.15944814371863,12.339883600452934,1.4396969378057567,1777.0450447045766
18,320.48284594569884,6.90454395834564,1.433368568981982,1898.3499342132031
19,319.9785504174815,16.902393590580864,1.0787197799411874,1708.7609173688616
20,293.0361131948819,10.424621205239415,1.7477257950106058,1663.1375441944335
21,208.42879752175236,10.396677791049845,1.3684762594679063,1475.680305363043
22,239.8815616848524,14.067370368725957,1.0954451150103321,1656.1601865871442
23,233.8795727408757,3.58024884863913,1.0444659357341872,2374.8896739925335
24,375.73215798684913,15.679749534177688,1.2135597524338357,1260.6734131191374
25,285.1725155697225,9.143303560529969,1.1832159566199232,1481.3975219980011
26,267.46741517765895,10.891197446478593,1.3483997249264843,1322.851032635744
27,229.3182385800452,10.507140429250954,1.3618169680781094,1709.7218540399542
28,342.7367662056274,8.324116114694045,1.6624188291872672,1252.824351034675
29,305.02080405947873,4.390071442781687,1.6011359603844901,1710.9025688214979
30,207.1820894329869,11.16650836613259,0.674199862463242,2136.9520988377985
31,290.36143620729604,3.660601043544625,1.6733200530681511,2036.3585190682452
32,301.95908813793125,19.430996792847154,1.7372915179041826,1818.5899732784987
