FeatureLag,n_estimators,min_samples_split,max_features,max_depth
1,0.15422311005722186,0.08019907323942264,1.5047975348465301,0.005725006320056169
2,-0.463119367371129,1.048686789590387,-0.4456714562040073,0.10559539395599998
3,0.24846241649202225,-1.7977444019643367,0.1702694563575867,0.22662621612399708
4,-0.3427753768173136,0.17706335602039164,0.7631566178598325,1.0097449813224946
5,0.12237497254519193,-0.7532418830987099,0.4778195799117049,-0.5703540954449087
6,0.2881001010100538,-1.0806095111200467,0.16678041938153568,0.825943168758571
7,0.01631078006464684,0.2989906733509155,0.4985853237941139,0.18061453706839387
8,0.3656243968167043,-0.5303371301700843,1.6059399539471464,0.37288464547696665
9,0.19516764040746287,-0.6290804622396394,1.311924369653671,0.36002507869672395
10,0.3116001535700513,-1.5280998154065335,0.19723526300130365,0.385620189730321
11,0.060374645482512125,-1.7443718818479672,0.8563653574931687,0.18546992369745702
12,0.29600455186212254,-0.5843457886405391,0.6387607002188658,-1.4077105404787023
13,0.09867535352342456,1.9943914438891412,0.19649300402557723,0.02543609240925148
14,-0.10715936925419946,-0.5081091274855222,1.296362432175337,-0.2319893240923661
15,0.2551074895244614,0.07820769692506123,1.4031734851179338,0.28017687082246134
16,-0.41251114402877775,-0.3434398426976714,0.7621853318775222,-0.15768169732239729
17,1.4404429420068734,-0.1090473690324457,0.9708021056456685,0.4787214760609758
18,0.3778186088054618,0.5785553091636418,0.2881180458182911,-0.21441317646366886
19,-0.05659787655901055,-0.6544313670211966,-0.15450413514782688,0.13177644379841683
20,-0.1614131416791327,0.7983570517567526,0.9649728471837894,-0.5825988470973668
21,0.4226894147448776,-0.3236892621767632,0.6881723861119123,1.2469905348347474
22,0.963907208783227,0.22359414143916245,0.5578655678293358,0.6280646354811538
23,-0.5193323759685231,0.1275714644321687,-0.856365357493169,0.4177503120970411
24,0.6022822476350002,0.13628801807156457,0.6917716009910907,-0.7817820590800728
25,-0.30587265086011517,0.6734868525447031,0.8853996954298745,-0.003989515473368571
26,1.6358436485615926,-0.3941077512591276,0.6031841436171146,-0.26562453359030075
27,-0.42283175954769225,-1.968008349736359,0.6407241502059154,-0.34740290726782197
28,-1.0081954649999874,-0.21953434406000571,0.34957517364099133,0.6561248227355753
29,-0.5056990300008791,-1.532904381201509,-0.1771791717139926,-0.6245801194334749
30,-0.1976342961419744,-1.0046542094138557,1.799664166201882,-0.3616301251324727
31,-0.21209875697544803,-0.5382037622498224,-0.31303606434948406,0.3846545301746784
32,-0.28543911198109706,-0.15692530319424255,0.371024843332346,-0.21209290060657868
33,0.7544093655418933,0.12120106306382152,1.0139333869076104,0.6108170613138764
34,1.2146904542999357,-0.5011163415716018,-0.2550967659441471,0.04516542276596229
35,0.9582530706454861,0.44808669839993637,-0.856365357493169,0.5502334707035295
36,1.3501398318206075,0.5711947311228436,-0.18013215790922496,0.5834115912230396
37,-0.38826858205307624,-0.2717926491288833,0.18995783020491586,-0.12338815742703883
38,0.8593650110102461,1.1274894214757707,0.20900850935449355,-0.35905280193462596
39,-0.4976836533424998,1.6522975771431891,0.3467225980180498,0.4882745280314077
40,0.12569972248282785,-0.2500147715142283,0.11587782446557966,0.5954152797144081
