,RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
0,2021-10-20,2021-10-14,1,713,411,302,405,308,240,137,171,79,65,48
1,2021-10-20,2021-10-14,2,713,411,302,422,291,237,117,174,79,62,45
2,2021-10-20,2021-10-14,3,713,411,302,452,261,254,104,157,79,72,60
3,2021-10-20,2021-10-14,4,713,411,302,442,271,258,118,153,79,77,48
4,2021-10-20,2021-10-14,5,713,411,302,455,258,246,93,165,79,64,57
5,2021-10-20,2021-10-14,6,713,411,302,455,258,256,103,155,79,66,46
6,2021-10-20,2021-10-14,7,713,411,302,413,300,228,117,183,79,65,48
7,2021-10-20,2021-10-14,8,713,411,302,452,261,263,113,148,79,72,44
8,2021-10-20,2021-10-14,9,713,411,302,436,277,241,107,170,79,62,50
9,2021-10-20,2021-10-14,10,713,411,302,419,294,240,123,171,79,64,49
10,2021-10-20,2021-10-14,11,713,411,302,412,301,238,128,173,79,65,48
11,2021-10-20,2021-10-14,12,713,411,302,449,264,263,116,148,79,67,48
12,2021-10-20,2021-10-14,13,713,411,302,459,254,265,108,146,79,75,55
13,2021-10-20,2021-10-14,14,713,411,302,413,300,237,126,174,79,70,45
14,2021-10-20,2021-10-14,15,713,411,302,479,234,278,101,133,79,80,56
15,2021-10-20,2021-10-14,16,713,411,302,448,265,270,124,141,79,70,48
16,2021-10-20,2021-10-14,17,713,411,302,398,315,239,143,172,79,66,42
17,2021-10-20,2021-10-14,18,713,411,302,423,290,236,115,175,79,56,50
18,2021-10-20,2021-10-14,19,713,411,302,442,271,254,114,157,79,64,55
19,2021-10-20,2021-10-14,20,713,411,302,459,254,266,109,145,79,70,49
20,2021-10-20,2021-10-14,21,713,411,302,423,290,251,130,160,79,70,46
21,2021-10-20,2021-10-14,22,713,411,302,443,270,262,121,149,79,73,51
22,2021-10-20,2021-10-14,23,713,411,302,440,273,256,118,155,79,75,50
23,2021-10-20,2021-10-14,24,713,411,302,424,289,244,122,167,79,70,53
24,2021-10-20,2021-10-14,25,713,411,302,434,279,256,124,155,79,71,50
25,2021-10-20,2021-10-14,26,713,411,302,402,311,235,135,176,79,70,48
26,2021-10-20,2021-10-14,27,713,411,302,465,248,277,114,134,79,71,38
27,2021-10-20,2021-10-14,28,713,411,302,431,282,245,116,166,79,66,45
28,2021-10-20,2021-10-14,29,713,411,302,429,284,247,120,164,79,67,45
29,2021-10-20,2021-10-14,30,713,411,302,435,278,254,121,157,79,68,49
30,2021-10-20,2021-10-14,31,713,411,302,403,310,229,128,182,79,66,38
31,2021-10-20,2021-10-14,32,713,411,302,452,261,260,110,151,79,72,44
32,2021-10-20,2021-10-14,33,713,411,302,448,265,259,113,152,79,71,40
33,2021-10-20,2021-10-14,34,713,411,302,472,241,263,93,148,79,68,56
34,2021-10-20,2021-10-14,35,713,411,302,437,276,240,105,171,79,66,50
35,2021-10-20,2021-10-14,36,713,411,302,398,315,234,138,177,79,70,37
36,2021-10-20,2021-10-14,37,713,411,302,401,312,223,124,188,79,61,44
37,2021-10-20,2021-10-14,38,713,411,302,403,310,243,142,168,79,63,44
38,2021-10-20,2021-10-14,39,713,411,302,445,268,256,113,155,79,69,50
39,2021-10-20,2021-10-14,40,713,411,302,469,244,256,89,155,79,66,57
40,2021-10-20,2021-10-14,41,713,411,302,453,260,261,110,150,79,77,45
41,2021-10-20,2021-10-14,42,713,411,302,422,291,246,126,165,79,70,45
42,2021-10-20,2021-10-14,43,713,411,302,398,315,231,135,180,79,66,42
43,2021-10-20,2021-10-14,44,713,411,302,430,283,252,124,159,79,76,48
44,2021-10-20,2021-10-14,45,713,411,302,431,282,251,122,160,79,69,48
45,2021-10-20,2021-10-14,46,713,411,302,435,278,259,126,152,79,77,47
46,2021-10-20,2021-10-14,47,713,411,302,426,287,243,119,168,79,72,46
47,2021-10-20,2021-10-14,48,713,411,302,443,270,258,117,153,79,75,51
48,2021-10-20,2021-10-14,49,713,411,302,438,275,259,123,152,79,69,45
49,2021-10-20,2021-10-14,50,713,411,302,446,267,256,112,155,79,76,51
50,2021-10-20,2021-10-14,51,713,411,302,452,261,253,103,158,79,72,51
51,2021-10-20,2021-10-14,52,713,411,302,424,289,228,106,183,79,66,51
52,2021-10-20,2021-10-14,53,713,411,302,446,267,256,112,155,79,71,50
53,2021-10-20,2021-10-14,54,713,411,302,422,291,239,119,172,79,71,47
54,2021-10-20,2021-10-14,55,713,411,302,426,287,235,111,176,79,59,52
55,2021-10-20,2021-10-14,56,713,411,302,390,323,221,133,190,79,56,40
56,2021-10-20,2021-10-14,57,713,411,302,456,257,270,116,141,79,75,46
57,2021-10-20,2021-10-14,58,713,411,302,441,272,248,109,163,79,66,51
58,2021-10-20,2021-10-14,59,713,411,302,432,281,243,113,168,79,69,57
59,2021-10-20,2021-10-14,60,713,411,302,434,279,249,117,162,79,69,49
60,2021-10-20,2021-10-14,61,713,411,302,431,282,244,115,167,79,68,48
61,2021-10-20,2021-10-14,62,713,411,302,444,269,242,100,169,79,70,56
62,2021-10-20,2021-10-14,63,713,411,302,419,294,247,130,164,79,75,47
63,2021-10-20,2021-10-14,64,713,411,302,402,311,231,131,180,79,75,46
64,2021-10-20,2021-10-14,65,713,411,302,464,249,284,122,127,79,79,52
65,2021-10-20,2021-10-14,66,713,411,302,424,289,246,124,165,79,64,45
66,2021-10-20,2021-10-14,67,713,411,302,438,275,255,119,156,79,64,43
67,2021-10-20,2021-10-14,68,713,411,302,436,277,252,118,159,79,70,49
68,2021-10-20,2021-10-14,69,713,411,302,448,265,252,106,159,79,66,49
69,2021-10-20,2021-10-14,70,713,411,302,443,270,261,120,150,79,76,44
70,2021-10-20,2021-10-14,71,713,411,302,397,316,240,145,171,79,67,43
71,2021-10-20,2021-10-14,72,713,411,302,417,296,237,122,174,79,69,42
72,2021-10-20,2021-10-14,73,713,411,302,426,287,246,122,165,79,68,48
73,2021-10-20,2021-10-14,74,713,411,302,417,296,232,117,179,79,65,47
74,2021-10-20,2021-10-14,75,713,411,302,413,300,232,121,179,79,60,50
75,2021-10-20,2021-10-14,76,713,411,302,452,261,257,107,154,79,72,54
76,2021-10-20,2021-10-14,77,713,411,302,419,294,244,127,167,79,66,42
77,2021-10-20,2021-10-14,78,713,411,302,434,279,251,119,160,79,70,42
78,2021-10-20,2021-10-14,79,713,411,302,376,337,225,151,186,79,57,43
79,2021-10-20,2021-10-14,80,713,411,302,427,286,253,128,158,79,75,43
80,2021-10-20,2021-10-14,81,713,411,302,450,263,254,106,157,79,74,56
81,2021-10-20,2021-10-14,82,713,411,302,483,230,281,100,130,79,82,55
82,2021-10-20,2021-10-14,83,713,411,302,433,280,243,112,168,79,70,51
83,2021-10-20,2021-10-14,84,713,411,302,453,260,251,100,160,79,71,52
84,2021-10-20,2021-10-14,85,713,411,302,428,285,237,111,174,79,68,55
85,2021-10-20,2021-10-14,86,713,411,302,439,274,254,117,157,79,74,48
86,2021-10-20,2021-10-14,87,713,411,302,431,282,250,121,161,79,65,48
87,2021-10-20,2021-10-14,88,713,411,302,427,286,251,126,160,79,72,52
88,2021-10-20,2021-10-14,89,713,411,302,463,250,259,98,152,79,74,51
89,2021-10-20,2021-10-14,90,713,411,302,472,241,276,106,135,79,79,46
