Date,Close,EquityPriceReturns,PositiveReturn,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC
2011-10-25,101.31687927246094,-0.0194436531455717,0,-0.002735978,-0.008547009,-0.007017544,0.0,-0.010108865
2011-10-26,102.34611511230467,0.0101585821359138,1,-0.012345679,-0.004310345,-0.007067138,-0.012773723,-0.008641005
2011-10-27,105.91133880615234,0.0348349684786328,1,-0.051388889,-0.051948052,-0.042704626,-0.057301294,-0.054675119
2011-10-28,105.88665008544922,-0.0002331074366674,0,0.002928258,-0.00913242,-0.003717472,0.005882353,-0.000838223
2011-10-31,103.33416748046876,-0.0241058018449034,0,0.032116788,0.023041475,0.018656716,0.023391813,0.038590604
2011-11-01,100.45232391357422,-0.0278885835843137,0,0.04950495,0.031531532,0.029304029,0.053333333,0.046849758
2011-11-02,102.09085845947266,0.0163115643527389,1,-0.009433962,-0.004366812,-0.003558719,-0.01084991,-0.008487654
2011-11-03,103.95169067382812,0.0182272168383632,1,-0.013605442,-0.004385965,0.0,-0.014625229,-0.007782101
2011-11-04,103.31770324707033,-0.006098865950599,0,0.00137931,0.004405286,-0.003571429,0.0,0.001568627
2011-11-07,103.9599380493164,0.0062161157484335,1,0.004132231,0.004385965,0.003584229,0.005565863,0.003132341
2011-11-08,105.29379272460938,0.0128304681622666,1,-0.008230453,0.004366812,0.0,-0.011070111,0.0
2011-11-09,101.40746307373048,-0.0369093899109836,0,0.034578147,0.026086957,0.025,0.037313433,0.039032006
2011-11-10,102.36256408691406,0.009418448940875,1,-0.002673797,0.004237288,0.003484321,-0.005395683,0.000751315
2011-11-11,104.2892608642578,0.0188222793609178,1,0.0,0.0,0.0,0.0,0.0
2011-11-14,103.30123901367188,-0.0094738599391546,0,-0.002680965,0.008438819,0.006944444,-0.001808318,-0.006006006
2011-11-15,103.81171417236328,0.0049416169986484,1,0.00672043,0.008368201,0.010344828,0.009057971,0.006797583
2011-11-16,102.16497802734376,-0.0158627199073639,0,0.006675567,0.012448133,0.006825939,0.005385996,0.0060015
2011-11-17,100.54290008544922,-0.0158770448857767,0,0.01061008,0.016393443,0.013559322,0.0125,0.013422819
2011-11-18,100.43587493896484,-0.0010644724430408,0,-0.001312336,0.004032258,0.0,-0.005291005,0.008094187
2011-11-21,98.52561950683594,-0.0190196524228993,0,0.023653088,0.024096386,0.016722408,0.024822695,0.021167883
2011-11-22,98.13863372802734,-0.0039277680337929,0,0.014120668,0.023529412,0.013157895,0.015570934,0.012866333
2011-11-23,95.97314453125,-0.0220656138619026,0,0.016455696,0.011494253,0.00974026,0.018739353,0.014114326
2011-11-25,95.79200744628906,-0.0018873726170549,0,-0.00373599,0.003787879,0.003215434,-0.005016722,-0.002086231
2011-11-28,98.56680297851562,0.0289668794526767,1,-0.00625,0.003773585,0.0,-0.006722689,-0.008362369
2011-11-29,98.84673309326172,0.0028400040002019,1,0.0,0.003759398,0.003205128,0.001692047,-0.002108222
2011-11-30,102.91423797607422,0.041149613705238,1,-0.020125786,-0.003745318,0.003194888,-0.027027027,0.002816901
2011-12-01,102.89778137207033,-0.0001599059986989,0,-0.01283697,-0.007518797,-0.003184713,-0.013888889,-0.011235955
2011-12-02,102.80721282958984,-0.000880179740251,0,-0.00520156,-0.015151515,-0.009584665,-0.003521127,-0.007102273
2011-12-05,103.927001953125,0.0108921260747656,1,-0.011764706,-0.015384615,-0.012903226,-0.014134276,-0.012160229
2011-12-06,103.9599380493164,0.0003169156770852,1,-0.007936508,0.0,-0.003267974,-0.007168459,-0.005792904
2011-12-07,104.346923828125,0.0037224510332529,1,0.005333333,0.0,0.003278689,0.005415162,0.002184996
