,RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
76,2021-10-22,2021-10-01,77,704,406,298,403,301,240,135,166,78,66,41
77,2021-10-22,2021-10-01,78,704,406,298,419,285,248,127,158,78,70,43
78,2021-10-22,2021-10-01,79,704,406,298,362,342,216,152,190,78,53,44
79,2021-10-22,2021-10-01,80,704,406,298,427,277,249,120,157,78,76,44
80,2021-10-22,2021-10-01,81,704,406,298,432,272,247,113,159,78,69,53
81,2021-10-22,2021-10-01,82,704,406,298,471,233,277,104,129,78,77,53
82,2021-10-22,2021-10-01,83,704,406,298,426,278,243,115,163,78,71,49
83,2021-10-22,2021-10-01,84,704,406,298,424,280,232,106,174,78,64,51
84,2021-10-22,2021-10-01,85,704,406,298,414,290,227,111,179,78,66,52
85,2021-10-22,2021-10-01,86,704,406,298,441,263,259,116,147,78,75,46
86,2021-10-22,2021-10-01,87,704,406,298,422,282,252,128,154,78,72,46
87,2021-10-22,2021-10-01,88,704,406,298,416,288,246,128,160,78,69,47
88,2021-10-22,2021-10-01,89,704,406,298,462,242,261,97,145,78,75,54
89,2021-10-22,2021-10-01,90,704,406,298,473,231,276,101,130,78,76,47
