,RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
0,2021-10-26,2021-10-21,1,790,34,1,211
1,2021-10-26,2021-10-21,2,696,49,1,1611
2,2021-10-26,2021-10-21,3,16,4,5,3885
3,2021-10-26,2021-10-21,4,935,26,1,3281
4,2021-10-26,2021-10-21,5,880,34,5,4928
5,2021-10-26,2021-10-21,6,27,40,5,4715
6,2021-10-26,2021-10-21,7,659,18,5,251
7,2021-10-26,2021-10-21,8,199,25,5,1684
8,2021-10-26,2021-10-21,9,573,50,4,5320
9,2021-10-26,2021-10-21,10,264,47,3,5189
10,2021-10-26,2021-10-21,11,309,36,1,3282
11,2021-10-26,2021-10-21,12,27,33,3,5779
12,2021-10-26,2021-10-21,13,718,13,1,5760
13,2021-10-26,2021-10-21,14,808,36,3,1443
14,2021-10-26,2021-10-21,15,679,20,1,5109
15,2021-10-26,2021-10-21,16,401,39,1,4122
16,2021-10-26,2021-10-21,17,289,29,2,928
17,2021-10-26,2021-10-21,18,521,11,4,13
18,2021-10-26,2021-10-21,19,677,27,4,1340
19,2021-10-26,2021-10-21,20,405,13,1,3137
20,2021-10-26,2021-10-21,21,24,42,2,5197
21,2021-10-26,2021-10-21,22,599,5,1,4992
22,2021-10-26,2021-10-21,23,165,44,5,103
23,2021-10-26,2021-10-21,24,635,49,1,3609
24,2021-10-26,2021-10-21,25,151,41,2,5340
25,2021-10-26,2021-10-21,26,574,26,1,2605
26,2021-10-26,2021-10-21,27,974,44,2,4020
27,2021-10-26,2021-10-21,28,591,35,5,1264
28,2021-10-26,2021-10-21,29,910,50,4,4013
29,2021-10-26,2021-10-21,30,15,45,3,1371
30,2021-10-26,2021-10-21,31,679,46,5,3378
31,2021-10-26,2021-10-21,32,271,46,5,3976
32,2021-10-26,2021-10-21,33,32,46,1,3614
33,2021-10-26,2021-10-21,34,28,40,1,3106
34,2021-10-26,2021-10-21,35,759,37,2,2673
35,2021-10-26,2021-10-21,36,355,8,1,3323
36,2021-10-26,2021-10-21,37,718,33,1,3217
37,2021-10-26,2021-10-21,38,296,45,4,4721
38,2021-10-26,2021-10-21,39,910,12,5,1131
39,2021-10-26,2021-10-21,40,840,49,2,453
40,2021-10-26,2021-10-21,41,533,3,4,419
41,2021-10-26,2021-10-21,42,574,44,3,3982
42,2021-10-26,2021-10-21,43,212,32,1,2433
43,2021-10-26,2021-10-21,44,794,48,4,967
44,2021-10-26,2021-10-21,45,132,23,1,2187
45,2021-10-26,2021-10-21,46,11,3,3,3056
46,2021-10-26,2021-10-21,47,724,3,5,134
47,2021-10-26,2021-10-21,48,707,37,1,3061
48,2021-10-26,2021-10-21,49,244,46,4,4430
49,2021-10-26,2021-10-21,50,694,36,2,4522
50,2021-10-26,2021-10-21,51,203,34,2,4454
51,2021-10-26,2021-10-21,52,366,45,1,4245
52,2021-10-26,2021-10-21,53,815,42,1,4941
53,2021-10-26,2021-10-21,54,695,30,2,841
54,2021-10-26,2021-10-21,55,611,4,4,4168
55,2021-10-26,2021-10-21,56,642,30,3,458
56,2021-10-26,2021-10-21,57,208,28,2,2413
57,2021-10-26,2021-10-21,58,636,5,3,2942
58,2021-10-26,2021-10-21,59,237,24,1,1249
59,2021-10-26,2021-10-21,60,687,47,1,908
60,2021-10-26,2021-10-21,61,484,37,5,3621
61,2021-10-26,2021-10-21,62,20,41,4,2083
62,2021-10-26,2021-10-21,63,603,49,5,3560
63,2021-10-26,2021-10-21,64,920,28,1,5875
64,2021-10-26,2021-10-21,65,143,27,2,4235
65,2021-10-26,2021-10-21,66,14,21,1,2697
66,2021-10-26,2021-10-21,67,257,36,2,4862
67,2021-10-26,2021-10-21,68,249,10,3,3416
68,2021-10-26,2021-10-21,69,653,49,1,1469
69,2021-10-26,2021-10-21,70,402,30,1,5750
70,2021-10-26,2021-10-21,71,72,42,5,4184
71,2021-10-26,2021-10-21,72,906,38,4,3405
72,2021-10-26,2021-10-21,73,218,4,5,2482
73,2021-10-26,2021-10-21,74,524,37,2,4514
74,2021-10-26,2021-10-21,75,910,48,1,442
75,2021-10-26,2021-10-21,76,847,8,5,5494
76,2021-10-26,2021-10-21,77,914,3,3,5372
77,2021-10-26,2021-10-21,78,707,31,3,3472
78,2021-10-26,2021-10-21,79,165,40,5,1546
79,2021-10-26,2021-10-21,80,152,45,2,5007
80,2021-10-26,2021-10-21,81,702,30,4,599
81,2021-10-26,2021-10-21,82,47,33,2,5737
82,2021-10-26,2021-10-21,83,9,18,1,561
83,2021-10-26,2021-10-21,84,932,36,3,2587
84,2021-10-26,2021-10-21,85,278,20,4,4912
85,2021-10-26,2021-10-21,86,515,43,4,4787
86,2021-10-26,2021-10-21,87,312,6,3,1739
87,2021-10-26,2021-10-21,88,597,49,2,4911
88,2021-10-26,2021-10-21,89,82,46,4,1143
89,2021-10-26,2021-10-21,90,96,50,3,5361
