,RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
0,2021-10-20,2021-10-14,1,701,44,1,1193
1,2021-10-20,2021-10-14,2,902,47,3,557
2,2021-10-20,2021-10-14,3,63,46,1,3049
3,2021-10-20,2021-10-14,4,42,48,3,2343
4,2021-10-20,2021-10-14,5,271,50,2,5697
5,2021-10-20,2021-10-14,6,314,48,3,3470
6,2021-10-20,2021-10-14,7,504,11,2,3232
7,2021-10-20,2021-10-14,8,222,43,1,1766
8,2021-10-20,2021-10-14,9,919,37,1,4610
9,2021-10-20,2021-10-14,10,56,24,3,1678
10,2021-10-20,2021-10-14,11,817,49,3,535
11,2021-10-20,2021-10-14,12,988,3,5,3614
12,2021-10-20,2021-10-14,13,339,29,2,5212
13,2021-10-20,2021-10-14,14,850,50,5,3544
14,2021-10-20,2021-10-14,15,260,26,2,2371
15,2021-10-20,2021-10-14,16,59,35,1,595
16,2021-10-20,2021-10-14,17,25,23,2,5513
17,2021-10-20,2021-10-14,18,962,3,4,5050
18,2021-10-20,2021-10-14,19,903,47,4,1248
19,2021-10-20,2021-10-14,20,470,26,1,4519
20,2021-10-20,2021-10-14,21,331,33,1,1042
21,2021-10-20,2021-10-14,22,308,21,1,2084
22,2021-10-20,2021-10-14,23,531,43,3,666
23,2021-10-20,2021-10-14,24,75,7,2,5777
24,2021-10-20,2021-10-14,25,181,41,2,5930
25,2021-10-20,2021-10-14,26,237,30,1,3471
26,2021-10-20,2021-10-14,27,519,42,3,4640
27,2021-10-20,2021-10-14,28,890,35,2,674
28,2021-10-20,2021-10-14,29,444,36,4,5343
29,2021-10-20,2021-10-14,30,658,43,1,3473
30,2021-10-20,2021-10-14,31,144,42,3,4542
31,2021-10-20,2021-10-14,32,125,48,2,5452
32,2021-10-20,2021-10-14,33,316,45,1,5374
33,2021-10-20,2021-10-14,34,218,42,5,1128
34,2021-10-20,2021-10-14,35,407,38,2,1153
35,2021-10-20,2021-10-14,36,349,15,4,2680
36,2021-10-20,2021-10-14,37,796,40,1,5108
37,2021-10-20,2021-10-14,38,445,5,3,4666
38,2021-10-20,2021-10-14,39,526,9,5,3322
39,2021-10-20,2021-10-14,40,441,41,1,524
40,2021-10-20,2021-10-14,41,242,13,2,2315
41,2021-10-20,2021-10-14,42,492,44,2,2940
42,2021-10-20,2021-10-14,43,835,41,2,1421
43,2021-10-20,2021-10-14,44,53,49,2,1789
44,2021-10-20,2021-10-14,45,9,17,2,5438
45,2021-10-20,2021-10-14,46,171,30,2,5984
46,2021-10-20,2021-10-14,47,863,7,2,5192
47,2021-10-20,2021-10-14,48,699,37,1,1144
48,2021-10-20,2021-10-14,49,820,36,4,2989
49,2021-10-20,2021-10-14,50,71,7,2,5574
50,2021-10-20,2021-10-14,51,621,40,1,2286
51,2021-10-20,2021-10-14,52,561,49,4,5332
52,2021-10-20,2021-10-14,53,447,37,3,110
53,2021-10-20,2021-10-14,54,255,31,1,78
54,2021-10-20,2021-10-14,55,691,47,1,4395
55,2021-10-20,2021-10-14,56,607,30,2,1451
56,2021-10-20,2021-10-14,57,625,33,3,3730
57,2021-10-20,2021-10-14,58,1,32,1,5462
58,2021-10-20,2021-10-14,59,626,16,5,3647
59,2021-10-20,2021-10-14,60,330,35,1,4959
60,2021-10-20,2021-10-14,61,827,21,2,179
61,2021-10-20,2021-10-14,62,509,39,1,3026
62,2021-10-20,2021-10-14,63,939,44,4,2226
63,2021-10-20,2021-10-14,64,890,23,1,841
64,2021-10-20,2021-10-14,65,724,43,1,1473
65,2021-10-20,2021-10-14,66,691,38,3,2959
66,2021-10-20,2021-10-14,67,737,2,5,1795
67,2021-10-20,2021-10-14,68,139,15,5,1744
68,2021-10-20,2021-10-14,69,782,37,2,4276
69,2021-10-20,2021-10-14,70,833,44,1,957
70,2021-10-20,2021-10-14,71,245,45,2,2121
71,2021-10-20,2021-10-14,72,985,50,4,2798
72,2021-10-20,2021-10-14,73,175,44,3,3113
73,2021-10-20,2021-10-14,74,902,4,3,5745
74,2021-10-20,2021-10-14,75,79,34,1,2820
75,2021-10-20,2021-10-14,76,89,42,3,1593
76,2021-10-20,2021-10-14,77,23,12,3,3052
77,2021-10-20,2021-10-14,78,460,49,3,2402
78,2021-10-20,2021-10-14,79,349,38,1,2790
79,2021-10-20,2021-10-14,80,920,45,3,619
80,2021-10-20,2021-10-14,81,573,13,4,5374
81,2021-10-20,2021-10-14,82,785,50,2,2886
82,2021-10-20,2021-10-14,83,195,9,2,2878
83,2021-10-20,2021-10-14,84,381,26,1,3783
84,2021-10-20,2021-10-14,85,493,25,1,2478
85,2021-10-20,2021-10-14,86,819,40,1,3354
86,2021-10-20,2021-10-14,87,511,8,2,1895
87,2021-10-20,2021-10-14,88,890,23,5,3130
88,2021-10-20,2021-10-14,89,613,41,4,4826
89,2021-10-20,2021-10-14,90,650,50,5,1281
