,RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
0,2021-10-21,2021-10-08,1,560,21,1,4382
1,2021-10-21,2021-10-08,2,719,13,5,371
2,2021-10-21,2021-10-08,3,600,32,5,3879
3,2021-10-21,2021-10-08,4,880,31,4,5908
4,2021-10-21,2021-10-08,5,420,41,4,3238
5,2021-10-21,2021-10-08,6,378,45,1,2219
6,2021-10-21,2021-10-08,7,817,3,2,286
7,2021-10-21,2021-10-08,8,561,30,1,5123
8,2021-10-21,2021-10-08,9,419,33,5,1820
9,2021-10-21,2021-10-08,10,817,49,2,117
10,2021-10-21,2021-10-08,11,679,48,2,1471
11,2021-10-21,2021-10-08,12,856,18,4,2874
12,2021-10-21,2021-10-08,13,223,47,1,5910
13,2021-10-21,2021-10-08,14,545,6,2,370
14,2021-10-21,2021-10-08,15,529,27,3,475
15,2021-10-21,2021-10-08,16,688,43,1,4642
16,2021-10-21,2021-10-08,17,581,22,2,5666
17,2021-10-21,2021-10-08,18,139,15,5,4773
18,2021-10-21,2021-10-08,19,531,16,5,3754
19,2021-10-21,2021-10-08,20,946,24,1,4238
20,2021-10-21,2021-10-08,21,167,35,2,1944
21,2021-10-21,2021-10-08,22,102,49,1,2851
22,2021-10-21,2021-10-08,23,980,38,4,57
23,2021-10-21,2021-10-08,24,178,22,3,5092
24,2021-10-21,2021-10-08,25,681,18,1,3499
25,2021-10-21,2021-10-08,26,232,15,2,3242
26,2021-10-21,2021-10-08,27,306,41,5,3968
27,2021-10-21,2021-10-08,28,470,49,1,1606
28,2021-10-21,2021-10-08,29,495,40,4,5559
29,2021-10-21,2021-10-08,30,137,37,1,5897
30,2021-10-21,2021-10-08,31,799,42,4,1046
31,2021-10-21,2021-10-08,32,718,7,1,1862
32,2021-10-21,2021-10-08,33,158,12,1,5477
33,2021-10-21,2021-10-08,34,362,45,4,1917
34,2021-10-21,2021-10-08,35,399,3,5,145
35,2021-10-21,2021-10-08,36,42,6,1,2076
36,2021-10-21,2021-10-08,37,523,34,1,126
37,2021-10-21,2021-10-08,38,915,14,1,2415
38,2021-10-21,2021-10-08,39,772,10,1,3407
39,2021-10-21,2021-10-08,40,95,24,1,691
40,2021-10-21,2021-10-08,41,938,49,1,3079
41,2021-10-21,2021-10-08,42,316,41,3,74
42,2021-10-21,2021-10-08,43,668,50,2,1709
43,2021-10-21,2021-10-08,44,838,45,2,650
44,2021-10-21,2021-10-08,45,329,30,2,5132
45,2021-10-21,2021-10-08,46,999,34,2,4491
46,2021-10-21,2021-10-08,47,438,49,4,5198
47,2021-10-21,2021-10-08,48,97,31,3,4739
48,2021-10-21,2021-10-08,49,231,50,5,3880
49,2021-10-21,2021-10-08,50,702,4,2,3270
50,2021-10-21,2021-10-08,51,156,36,1,1518
51,2021-10-21,2021-10-08,52,524,42,2,3008
52,2021-10-21,2021-10-08,53,865,48,2,2982
53,2021-10-21,2021-10-08,54,149,41,1,4297
54,2021-10-21,2021-10-08,55,181,10,3,255
55,2021-10-21,2021-10-08,56,400,41,1,5661
56,2021-10-21,2021-10-08,57,538,39,5,4105
57,2021-10-21,2021-10-08,58,514,14,5,1281
58,2021-10-21,2021-10-08,59,923,28,4,4412
59,2021-10-21,2021-10-08,60,788,45,4,833
60,2021-10-21,2021-10-08,61,364,39,4,4167
61,2021-10-21,2021-10-08,62,311,4,1,2007
62,2021-10-21,2021-10-08,63,519,42,5,5463
63,2021-10-21,2021-10-08,64,584,27,5,110
64,2021-10-21,2021-10-08,65,406,48,3,5476
65,2021-10-21,2021-10-08,66,423,39,3,443
66,2021-10-21,2021-10-08,67,475,3,3,5346
67,2021-10-21,2021-10-08,68,265,30,5,2589
68,2021-10-21,2021-10-08,69,270,27,4,3089
69,2021-10-21,2021-10-08,70,824,27,2,2101
70,2021-10-21,2021-10-08,71,732,14,1,4849
71,2021-10-21,2021-10-08,72,480,50,5,5513
72,2021-10-21,2021-10-08,73,374,10,1,4847
73,2021-10-21,2021-10-08,74,603,43,2,5054
74,2021-10-21,2021-10-08,75,36,47,3,4342
75,2021-10-21,2021-10-08,76,706,17,2,2985
76,2021-10-21,2021-10-08,77,975,5,3,1745
77,2021-10-21,2021-10-08,78,442,25,1,4316
78,2021-10-21,2021-10-08,79,878,35,1,1734
79,2021-10-21,2021-10-08,80,517,46,5,2600
80,2021-10-21,2021-10-08,81,415,36,1,1958
81,2021-10-21,2021-10-08,82,654,34,4,5223
82,2021-10-21,2021-10-08,83,197,45,1,2214
83,2021-10-21,2021-10-08,84,862,21,2,1407
84,2021-10-21,2021-10-08,85,637,11,5,2106
85,2021-10-21,2021-10-08,86,739,40,4,2846
86,2021-10-21,2021-10-08,87,650,15,5,1877
87,2021-10-21,2021-10-08,88,113,32,4,4909
88,2021-10-21,2021-10-08,89,477,39,2,62
89,2021-10-21,2021-10-08,90,436,42,1,4255
