Date,PositiveReturn,PredictedValue,PredictedMinusActual,Close,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2018-12-17,0,0,0,242.2222595,-0.019618345,-0.011363636,-0.008264463,-0.006535948,-0.021645022,-0.002828854,-0.0,1.0,0.980381655
2018-12-18,0,0,0,241.9566498,-0.001096554,-0.005747126,0.0,0.0,-0.004424779,-0.005673759,-0.0,1.0,0.9793066135746831
2018-12-19,0,1,1,238.3331757,-0.014975716,-0.01734104,-0.008333333,-0.006578947,-0.017777778,-0.018544936,-0.014975716,0.985024284,0.9646407958528669
2018-12-20,0,1,1,234.4535828,-0.016278023,-0.005882353,-0.008403361,-0.006622517,-0.004524887,-0.010174419,-0.016278023,0.9689900360494894,0.9489383507912356
2018-12-21,0,1,1,229.6497498,-0.020489484,-0.00887574,-0.008474576,-0.006666667,-0.013636364,-0.004405286,-0.020489484,0.949135930209694,0.9294950936357123
2018-12-24,0,0,0,223.5817413,-0.026422883,-0.017910448,-0.008547009,-0.013422819,-0.01843318,-0.010324484,-0.0,0.949135930209694,0.9049351535275019
2018-12-26,1,1,0,234.8781738,0.050524844,0.0,-0.00862069,0.0,0.004694836,-0.001490313,0.050524844,0.9970908750183336,0.9506568609895949
2018-12-27,1,1,0,236.6814117,0.007677333,-0.015197568,0.0,-0.006802721,-0.018691589,-0.007462687,0.007677333,1.0047458736971107,0.9579553702801467
2018-12-28,0,1,1,236.3760986,-0.001289975,0.0,-0.008695652,-0.006849315,-0.004761905,0.001503759,-0.001289975,1.0034497766386883,0.9567196318013694
2018-12-31,1,0,-1,238.4464417,0.008758682,0.00308642,-0.00877193,-0.006896552,0.009569378,-0.004504505,0.0,1.0034497766386883,0.9650992348194748
2019-01-02,1,1,0,238.694519,0.00104039,0.0,0.0,-0.006944444,0.004739336,-0.001508296,0.00104039,1.0044937557518054,0.9661033144123886
2019-01-03,0,1,1,232.998642,-0.023862622,0.009230769,0.0,0.006993007,0.009433962,0.01510574,-0.023862622,0.9805239009569398,0.9430495562076187
2019-01-04,1,1,0,240.8030701,0.033495595,-0.006097561,-0.008849558,-0.006944444,-0.004672897,-0.010416667,0.033495595,1.0133671324312135,0.9746375622072788
2019-01-07,1,1,0,242.7017212,0.007884663,0.003067485,0.0,0.0,0.0,0.0,0.007884663,1.02135719076571,0.9823222509324248
2019-01-08,1,0,-1,244.9820099,0.009395437,-0.006116208,0.0,-0.006993007,-0.004694836,-0.004511278,0.0,1.02135719076571,0.9915515977547585
2019-01-09,1,1,0,246.1269226,0.004673456,-0.003076923,-0.008928571,-0.007042254,0.0,-0.004531722,0.004673456,1.026130458657037,0.996185570518595
2019-01-10,1,1,0,246.9951324,0.003527488,0.012345679,0.018018018,0.014184397,0.004716981,0.02276176,0.003527488,1.0297501215363842,0.9996996031643726
2019-01-11,1,0,-1,247.0905762,0.000386419,-0.018292683,0.0,0.0,-0.018779343,-0.007418398,0.0,1.0297501215363842,1.0000859060853278
2019-01-14,0,0,0,245.5830688,-0.006101031,0.0,0.0,0.0,0.0,-0.002989537,-0.0,1.0297501215363842,0.9939843509696381
2019-01-15,1,0,-1,248.397644,0.011460787,-0.01863354,-0.017699115,-0.013986014,-0.028708134,-0.010494753,0.0,1.0297501215363842,1.0053761938974344
2019-01-16,1,1,0,248.998703,0.002419745,0.041139241,0.009009009,0.007092199,0.054187192,0.025757576,0.002419745,1.0322418542442213,1.0078089479157368
2019-01-17,1,1,0,250.8878174,0.007586844,0.009118541,0.008928571,0.007042254,0.014018692,0.005908419,0.007586844,1.0400733121626429,1.0154550371853777
2019-01-18,1,1,0,254.2271881,0.013310215,0.0,0.0,0.0,0.0,0.0,0.013310215,1.0539169115632898,1.028970962053148
2019-01-22,0,0,0,250.7924042,-0.013510687,0.029325513,0.0,0.0,0.039823009,0.017416546,-0.0,1.0539169115632898,1.015068857452759
2019-01-23,1,1,0,251.3171692,0.002092428,0.01994302,0.026548673,0.027972028,0.021276596,0.021398003,0.002092428,1.0561221568187185,1.0171928159520214
2019-01-24,1,1,0,251.4507294,0.000531441,-0.011173184,0.0,0.0,-0.0125,-0.009776536,0.000531441,1.0566834234338602,1.0177333939193236
2019-01-25,1,1,0,253.5783539,0.008461397,-0.014124294,-0.00862069,-0.006802721,-0.021097046,-0.007052186,0.008461397,1.0656244413828533,1.0263448402054325
2019-01-28,0,1,1,251.6510925,-0.00760026,-0.011461318,0.008695652,0.006849315,-0.012931034,-0.004261364,-0.00760026,1.0575254185659888,1.0185443525702127
2019-01-29,0,1,1,251.3171692,-0.00132693,0.0,0.0,0.0,-0.004366812,0.0,-0.00132693,1.056122156362331,1.0171928155124568
2019-01-30,1,1,0,255.2957001,0.015830717,0.017391304,0.00862069,0.006802721,0.026315789,0.005706134,0.015830717,1.0728413273371329,1.0332957071092677
2019-01-31,1,0,-1,257.5378113,0.008782409,0.0,0.0,0.0,0.0,-0.004255319,0.0,1.0728413273371329,1.0423705326270454
2019-02-01,1,1,0,257.6618347,0.000481574,0.002849003,0.008547009,0.006756757,0.004273504,0.004273504,0.000481574,1.0733579798265038,1.0428725111739245
2019-02-04,1,0,-1,259.4746094,0.00703548,0.036931818,0.016949153,0.020134228,0.046808511,0.025531915,0.0,1.0733579798265038,1.0502096198688387
2019-02-05,1,1,0,260.5623169,0.004191961,0.008219178,-0.008333333,-0.006578947,0.008130081,0.012448133,0.004191961,1.0778574546169755,1.0546120576371538
2019-02-06,0,1,1,260.2188721,-0.001318091,0.010869565,0.025210084,0.01986755,0.004032258,0.017759563,-0.001318091,1.0764367404067618,1.0532219829754907
2019-02-07,0,0,0,257.7381897,-0.009533061,0.034946237,0.008196721,0.012987013,0.044176707,0.024161074,-0.0,1.0764367404067618,1.0431815535652444
2019-02-08,1,0,-1,258.0530396,0.001221588,-0.002597403,0.0,0.0,-0.007692308,0.005242464,0.0,1.0764367404067618,1.044455891632901
2019-02-11,1,1,0,258.196167,0.000554644,0.013020833,0.016260163,0.012820513,0.003875969,0.026075619,0.000554644,1.077033779586208,1.0450351928264598
2019-02-12,1,0,-1,261.5163879,0.012859296,-0.020565553,0.0,0.0,-0.023166023,0.0,0.0,1.077033779586208,1.0584736097014324
2019-02-13,1,0,-1,262.3655701,0.003247147,0.0,0.008,0.012658228,0.0,0.005082592,0.0,1.077033779586208,1.0619106291077536
2019-02-14,0,1,1,261.7834778,-0.002218631,-0.023622047,-0.015873016,-0.0125,-0.035573123,-0.01011378,-0.002218631,1.0746442390547708,1.0595546412667856
2019-02-15,1,1,0,264.6362915,0.010897608,0.0,0.008064516,0.0,-0.004098361,0.003831418,0.010897608,1.086355290711448,1.0711012524018917
2019-02-19,1,0,-1,265.0941772,0.001730245,-0.02173913,-0.008130081,-0.006410256,-0.029288703,-0.008962868,0.0,1.086355290711448,1.072954519988354
2019-02-20,1,0,-1,265.6285095,0.002015632,-0.008333333,0.0,-0.006451613,-0.017241379,0.002583979,0.0,1.086355290711448,1.075117201453387
2019-02-21,0,1,1,264.68396,-0.003555904,0.039215686,0.008196721,0.012987013,0.048245614,0.029639175,-0.003555904,1.082492315587786,1.07129418789627
