,RunDate,PeriodEndDate,FeatureLag,n_estimators,max_depth,max_features,random_state,verbose,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Sortino Ratio,Alpha,Beta
0,2021-10-22,2021-10-05,1,500,5000,auto,0,0,0.1443044936685296,0.17240234623675907,0.8692974954328881,0.4809564108101961,-0.3000365322617099,1.1693271755796697,0.019806586379216506,0.5753904776962016
1,2021-10-22,2021-10-05,2,500,5000,auto,0,0,0.08090659502841868,0.15999830062016454,0.566736306203763,0.3397675133998765,-0.23812339861109302,0.7781628579246407,-0.021239090017106776,0.495385180467962
2,2021-10-22,2021-10-05,3,500,5000,auto,0,0,0.029764315346119785,0.20049813059246252,0.24735569388476808,0.0849075883729264,-0.35054953174963127,0.3331415671425529,-0.11902320596545712,0.7787296498167319
3,2021-10-22,2021-10-05,4,500,5000,auto,0,0,0.24988686383840952,0.18427869548549633,1.302806904911105,1.0871961323912407,-0.22984524723132913,1.949641431909885,0.09522310218109209,0.6586580949212059
4,2021-10-22,2021-10-05,5,500,5000,auto,0,0,0.05395590007932771,0.1895720908912687,0.37323382774065406,0.2013650911955214,-0.26795061526795444,0.49293615871279595,-0.08314102392031109,0.6959248012716174
5,2021-10-22,2021-10-05,6,500,5000,auto,0,0,0.07812534274227856,0.16623390522943,0.5362357523059641,0.3353264160404412,-0.2329829652694479,0.7247133607607668,-0.03143052297383975,0.5348317009789669
6,2021-10-22,2021-10-05,7,500,5000,auto,0,0,0.10349694465471404,0.18156844855250612,0.6333272996209843,0.38465548853818265,-0.2690640007452811,0.9020232419458717,-0.029051446899614586,0.6381934530053256
7,2021-10-22,2021-10-05,8,500,5000,auto,0,0,0.1635444521392979,0.1603713414710467,1.0255071026810245,0.8312055473965414,-0.19675572745098166,1.4151918965887174,0.05311375786680128,0.4978658194964215
8,2021-10-22,2021-10-05,9,500,5000,auto,0,0,-0.01562716612967674,0.16751065348959765,-0.00897524699930999,-0.04405275623037511,-0.35473753442245565,-0.01131120118985416,-0.11723607703852301,0.5440622043138038
9,2021-10-22,2021-10-05,10,500,5000,auto,0,0,0.0729269955251326,0.1712521841650982,0.49719574799474464,0.35236959495980974,-0.20696165778279038,0.6764658917981334,-0.042441509034932934,0.5676839638252517
10,2021-10-22,2021-10-05,11,500,5000,auto,0,0,0.13821684403403123,0.17615805394416656,0.8231446815601698,0.5877273790905503,-0.23517169516231837,1.1928890625279789,0.009049013191138489,0.6007460187263801
11,2021-10-22,2021-10-05,12,500,5000,auto,0,0,0.13055990004223927,0.1554284121596556,0.8681415933025607,0.6725931254095836,-0.19411423505515799,1.161853107852,0.029543693674080718,0.4674348278040574
12,2021-10-22,2021-10-05,13,500,5000,auto,0,0,0.1610808031296347,0.1930646955026025,0.870745183667081,0.684034486239684,-0.23548637732453795,1.2375005959377157,0.004692924759596817,0.721929149566664
13,2021-10-22,2021-10-05,14,500,5000,auto,0,0,0.10046248313355721,0.17863990136684996,0.625905871883106,0.4013941369192912,-0.2502838828304991,0.8556496999924562,-0.02764284531818595,0.6177407438320901
14,2021-10-22,2021-10-05,15,500,5000,auto,0,0,0.0812971493870902,0.19812939220883846,0.494534805453383,0.2215099376547963,-0.36701355364825505,0.6644395633655501,-0.07142546072552469,0.7601284564713772
15,2021-10-22,2021-10-05,16,500,5000,auto,0,0,0.18519622120090395,0.1679958027821602,1.0960167342507983,0.9407001806869146,-0.19687061297859074,1.5418944590879395,0.06224335877887244,0.5465922876767227
16,2021-10-22,2021-10-05,17,500,5000,auto,0,0,0.19617682028182615,0.17599419065187177,1.1055558272471755,0.9154359085442154,-0.21429880393680323,1.680794296281923,0.06048343901695885,0.6000595237464016
17,2021-10-22,2021-10-05,18,500,5000,auto,0,0,0.049051562782474356,0.1609471469732024,0.3787507601182092,0.2188990238309495,-0.2240830585903193,0.5056441961838111,-0.05120809915271374,0.5014606329577308
18,2021-10-22,2021-10-05,19,500,5000,auto,0,0,0.14965424682295914,0.1804620296232886,0.8633054556006416,0.6606270173395677,-0.22653364590754485,1.26784978041362,0.0131331633689169,0.6305668817005925
19,2021-10-22,2021-10-05,20,500,5000,auto,0,0,0.07476919254671,0.16035232289017196,0.5303470970966473,0.4501498977193121,-0.16609843282321884,0.7146535954515038,-0.02722813564911719,0.49760603807548526
20,2021-10-22,2021-10-05,21,500,5000,auto,0,0,0.10092402199255801,0.19605094045257962,0.5895392933508538,0.27715866802636296,-0.36413806831745293,0.7854430348870781,-0.05152663887527831,0.744226435269625
21,2021-10-22,2021-10-05,22,500,5000,auto,0,0,0.11869902401084564,0.19165950296501272,0.6822722951756838,0.30877870423192616,-0.38441454149535476,0.9136052236848684,-0.029793157285415095,0.7112389355550812
22,2021-10-22,2021-10-05,23,500,5000,auto,0,0,0.20214384344013148,0.19084100907305224,1.0608220801106847,1.441464473082285,-0.14023505068278727,1.5360340921038005,0.04360089780029508,0.7057589773198816
23,2021-10-22,2021-10-05,24,500,5000,auto,0,0,0.04658148712050725,0.18705900582392385,0.33821509901099905,0.14826551656771728,-0.31417613615659645,0.44181736202362965,-0.086205051186241,0.6776268241188579
24,2021-10-22,2021-10-05,25,500,5000,auto,0,0,0.18657778870753838,0.18087135520256636,1.0368882673099031,0.6433958449757382,-0.2899891103812988,1.485176763953584,0.045065701665373714,0.6337205985533598
25,2021-10-22,2021-10-05,26,500,5000,auto,0,0,0.12511575970375688,0.16875115694455523,0.7827787849841805,0.7713972367118402,-0.16219368407005919,1.13645385798218,0.007350787161058081,0.551163816932199
