,RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
0,2021-10-20,2021-10-13,1,86,11,5,2454
1,2021-10-20,2021-10-13,2,677,2,4,2572
2,2021-10-20,2021-10-13,3,961,41,3,952
3,2021-10-20,2021-10-13,4,540,25,4,761
4,2021-10-20,2021-10-13,5,897,45,2,5096
5,2021-10-20,2021-10-13,6,592,31,5,1319
6,2021-10-20,2021-10-13,7,312,5,5,2905
7,2021-10-20,2021-10-13,8,249,44,4,26
8,2021-10-20,2021-10-13,9,913,47,3,4301
9,2021-10-20,2021-10-13,10,155,42,2,5376
10,2021-10-20,2021-10-13,11,830,50,2,2197
11,2021-10-20,2021-10-13,12,196,35,2,3726
12,2021-10-20,2021-10-13,13,401,20,3,2166
13,2021-10-20,2021-10-13,14,157,50,3,4113
14,2021-10-20,2021-10-13,15,66,22,1,5918
15,2021-10-20,2021-10-13,16,479,42,1,3132
16,2021-10-20,2021-10-13,17,220,41,3,1299
17,2021-10-20,2021-10-13,18,66,13,1,3401
18,2021-10-20,2021-10-13,19,639,38,5,5564
19,2021-10-20,2021-10-13,20,526,40,1,4918
20,2021-10-20,2021-10-13,21,434,22,2,1302
21,2021-10-20,2021-10-13,22,100,41,1,3121
22,2021-10-20,2021-10-13,23,680,47,3,5251
23,2021-10-20,2021-10-13,24,151,26,3,5428
24,2021-10-20,2021-10-13,25,714,38,1,4771
25,2021-10-20,2021-10-13,26,156,28,3,4936
26,2021-10-20,2021-10-13,27,479,48,3,2974
27,2021-10-20,2021-10-13,28,707,40,3,4558
28,2021-10-20,2021-10-13,29,103,40,1,1200
29,2021-10-20,2021-10-13,30,359,23,1,482
30,2021-10-20,2021-10-13,31,211,37,4,2639
31,2021-10-20,2021-10-13,32,248,49,1,4096
32,2021-10-20,2021-10-13,33,311,34,1,3796
33,2021-10-20,2021-10-13,34,23,14,1,2560
34,2021-10-20,2021-10-13,35,790,40,3,4832
35,2021-10-20,2021-10-13,36,53,10,2,5164
36,2021-10-20,2021-10-13,37,624,39,5,120
37,2021-10-20,2021-10-13,38,252,12,1,5325
38,2021-10-20,2021-10-13,39,415,2,1,2835
39,2021-10-20,2021-10-13,40,582,26,2,988
40,2021-10-20,2021-10-13,41,52,31,1,544
41,2021-10-20,2021-10-13,42,130,34,5,528
42,2021-10-20,2021-10-13,43,926,19,1,5669
43,2021-10-20,2021-10-13,44,215,44,2,1076
44,2021-10-20,2021-10-13,45,938,29,2,1856
45,2021-10-20,2021-10-13,46,399,33,1,5851
46,2021-10-20,2021-10-13,47,317,44,1,2100
47,2021-10-20,2021-10-13,48,160,50,1,2945
48,2021-10-20,2021-10-13,49,876,50,3,2476
49,2021-10-20,2021-10-13,50,969,44,1,5432
50,2021-10-20,2021-10-13,51,706,45,1,5309
51,2021-10-20,2021-10-13,52,87,43,3,4838
52,2021-10-20,2021-10-13,53,520,34,1,5376
53,2021-10-20,2021-10-13,54,630,40,4,2631
54,2021-10-20,2021-10-13,55,141,24,1,3054
55,2021-10-20,2021-10-13,56,213,28,2,4322
56,2021-10-20,2021-10-13,57,13,10,1,1485
57,2021-10-20,2021-10-13,58,740,21,5,4218
58,2021-10-20,2021-10-13,59,699,46,5,3070
59,2021-10-20,2021-10-13,60,296,3,2,5617
60,2021-10-20,2021-10-13,61,920,41,1,5478
61,2021-10-20,2021-10-13,62,804,6,1,3245
62,2021-10-20,2021-10-13,63,87,24,5,3988
63,2021-10-20,2021-10-13,64,981,42,5,2224
64,2021-10-20,2021-10-13,65,100,39,5,1432
65,2021-10-20,2021-10-13,66,482,34,2,5489
66,2021-10-20,2021-10-13,67,435,9,5,2011
67,2021-10-20,2021-10-13,68,304,11,2,2971
68,2021-10-20,2021-10-13,69,54,40,3,3340
69,2021-10-20,2021-10-13,70,8,11,3,2141
70,2021-10-20,2021-10-13,71,57,25,2,834
71,2021-10-20,2021-10-13,72,312,28,4,1739
72,2021-10-20,2021-10-13,73,168,17,5,3550
73,2021-10-20,2021-10-13,74,114,13,2,2164
74,2021-10-20,2021-10-13,75,377,35,1,476
75,2021-10-20,2021-10-13,76,983,38,2,607
76,2021-10-20,2021-10-13,77,277,16,3,5570
77,2021-10-20,2021-10-13,78,716,43,3,255
78,2021-10-20,2021-10-13,79,176,46,5,1435
79,2021-10-20,2021-10-13,80,773,48,3,330
80,2021-10-20,2021-10-13,81,718,21,3,633
81,2021-10-20,2021-10-13,82,755,26,1,1024
82,2021-10-20,2021-10-13,83,752,37,2,403
83,2021-10-20,2021-10-13,84,42,37,5,5235
84,2021-10-20,2021-10-13,85,357,16,4,2114
85,2021-10-20,2021-10-13,86,747,34,2,826
86,2021-10-20,2021-10-13,87,601,8,4,4618
87,2021-10-20,2021-10-13,88,782,47,4,1897
88,2021-10-20,2021-10-13,89,167,43,2,3456
89,2021-10-20,2021-10-13,90,485,40,1,5142
