,RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
76,2021-10-21,2021-10-08,77,709,409,300,421,288,247,126,162,79,68,43
77,2021-10-21,2021-10-08,78,709,409,300,423,286,244,121,165,79,69,42
78,2021-10-21,2021-10-08,79,709,409,300,374,335,222,148,187,79,53,43
79,2021-10-21,2021-10-08,80,709,409,300,421,288,248,127,161,79,75,43
80,2021-10-21,2021-10-08,81,709,409,300,442,267,250,108,159,79,70,54
81,2021-10-21,2021-10-08,82,709,409,300,464,245,273,109,136,79,76,57
82,2021-10-21,2021-10-08,83,709,409,300,430,279,243,113,166,79,73,52
83,2021-10-21,2021-10-08,84,709,409,300,433,276,243,110,166,79,69,48
84,2021-10-21,2021-10-08,85,709,409,300,426,283,236,110,173,79,67,52
85,2021-10-21,2021-10-08,86,709,409,300,434,275,250,116,159,79,74,48
86,2021-10-21,2021-10-08,87,709,409,300,416,293,239,123,170,79,65,46
87,2021-10-21,2021-10-08,88,709,409,300,429,280,254,125,155,79,73,52
88,2021-10-21,2021-10-08,89,709,409,300,465,244,266,101,143,79,80,51
89,2021-10-21,2021-10-08,90,709,409,300,468,241,274,106,135,79,72,41
