,RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
0,2021-10-26,2021-10-21,1,718,416,302,415,303,244,131,115,79,65,47
1,2021-10-26,2021-10-21,2,718,416,302,437,281,244,109,115,79,63,48
2,2021-10-26,2021-10-21,3,718,416,302,446,272,249,105,115,79,71,59
3,2021-10-26,2021-10-21,4,718,416,302,450,268,264,116,115,79,77,49
4,2021-10-26,2021-10-21,5,718,416,302,454,264,257,105,115,79,67,56
5,2021-10-26,2021-10-21,6,718,416,302,454,264,257,105,115,79,68,47
6,2021-10-26,2021-10-21,7,718,416,302,412,306,234,124,115,79,67,50
7,2021-10-26,2021-10-21,8,718,416,302,454,264,265,113,115,79,71,43
8,2021-10-26,2021-10-21,9,718,416,302,435,283,244,111,115,79,58,50
9,2021-10-26,2021-10-21,10,718,416,302,418,300,248,132,115,79,68,45
10,2021-10-26,2021-10-21,11,718,416,302,406,312,232,128,115,79,65,45
11,2021-10-26,2021-10-21,12,718,416,302,445,273,266,123,115,79,66,46
12,2021-10-26,2021-10-21,13,718,416,302,466,252,269,105,115,79,76,57
13,2021-10-26,2021-10-21,14,718,416,302,433,285,248,117,115,79,70,47
14,2021-10-26,2021-10-21,15,718,416,302,471,247,271,102,115,79,75,56
15,2021-10-26,2021-10-21,16,718,416,302,447,271,266,121,115,79,73,52
16,2021-10-26,2021-10-21,17,718,416,302,402,316,237,137,115,79,66,47
17,2021-10-26,2021-10-21,18,718,416,302,421,297,237,118,115,79,56,47
18,2021-10-26,2021-10-21,19,718,416,302,443,275,260,119,115,79,64,52
19,2021-10-26,2021-10-21,20,718,416,302,452,266,265,115,115,79,69,47
20,2021-10-26,2021-10-21,21,718,416,302,441,277,260,121,115,79,74,46
21,2021-10-26,2021-10-21,22,718,416,302,459,259,271,114,115,79,72,52
22,2021-10-26,2021-10-21,23,718,416,302,421,297,248,129,115,79,70,48
23,2021-10-26,2021-10-21,24,718,416,302,423,295,247,126,115,79,71,52
24,2021-10-26,2021-10-21,25,718,416,302,442,276,259,119,115,79,72,46
25,2021-10-26,2021-10-21,26,718,416,302,409,309,237,130,115,79,70,52
26,2021-10-26,2021-10-21,27,718,416,302,466,252,278,114,115,79,72,41
27,2021-10-26,2021-10-21,28,718,416,302,434,284,251,119,115,79,67,44
28,2021-10-26,2021-10-21,29,718,416,302,417,301,239,124,115,79,61,41
29,2021-10-26,2021-10-21,30,718,416,302,430,288,262,134,115,79,70,47
30,2021-10-26,2021-10-21,31,718,416,302,414,304,238,126,115,79,69,39
31,2021-10-26,2021-10-21,32,718,416,302,455,263,265,112,115,79,72,45
32,2021-10-26,2021-10-21,33,718,416,302,445,273,260,117,115,79,72,39
33,2021-10-26,2021-10-21,34,718,416,302,473,245,271,100,115,79,72,53
34,2021-10-26,2021-10-21,35,718,416,302,431,287,240,111,115,79,64,48
35,2021-10-26,2021-10-21,36,718,416,302,404,314,235,133,115,79,66,36
36,2021-10-26,2021-10-21,37,718,416,302,401,317,225,126,115,79,63,45
37,2021-10-26,2021-10-21,38,718,416,302,418,300,254,138,115,79,68,44
38,2021-10-26,2021-10-21,39,718,416,302,460,258,264,106,115,79,72,52
39,2021-10-26,2021-10-21,40,718,416,302,483,235,271,90,115,79,69,56
40,2021-10-26,2021-10-21,41,718,416,302,450,268,263,115,115,79,78,48
41,2021-10-26,2021-10-21,42,718,416,302,414,304,240,128,115,79,65,46
42,2021-10-26,2021-10-21,43,718,416,302,391,327,226,137,115,79,63,40
43,2021-10-26,2021-10-21,44,718,416,302,440,278,256,118,115,79,75,51
44,2021-10-26,2021-10-21,45,718,416,302,425,293,250,127,115,79,67,47
45,2021-10-26,2021-10-21,46,718,416,302,441,277,261,122,115,79,77,47
46,2021-10-26,2021-10-21,47,718,416,302,426,292,248,124,115,79,71,44
47,2021-10-26,2021-10-21,48,718,416,302,445,273,260,117,115,79,75,53
48,2021-10-26,2021-10-21,49,718,416,302,430,288,251,123,115,79,64,45
49,2021-10-26,2021-10-21,50,718,416,302,445,273,256,113,115,79,75,52
50,2021-10-26,2021-10-21,51,718,416,302,449,269,253,106,115,79,69,47
51,2021-10-26,2021-10-21,52,718,416,302,415,303,228,115,115,79,62,48
52,2021-10-26,2021-10-21,53,718,416,302,455,263,261,108,115,79,70,51
53,2021-10-26,2021-10-21,54,718,416,302,425,293,242,119,115,79,69,47
54,2021-10-26,2021-10-21,55,718,416,302,428,290,230,104,115,79,57,54
55,2021-10-26,2021-10-21,56,718,416,302,381,337,216,137,115,79,53,39
56,2021-10-26,2021-10-21,57,718,416,302,455,263,275,122,115,79,73,47
57,2021-10-26,2021-10-21,58,718,416,302,445,273,252,109,115,79,68,52
58,2021-10-26,2021-10-21,59,718,416,302,437,281,241,106,115,79,64,58
