,realtime_start,realtime_end,date,value
0,2021-10-19,2021-10-19,1962-01-02,4.07
1,2021-10-19,2021-10-19,1962-01-03,4.07
2,2021-10-19,2021-10-19,1962-01-04,4.06
3,2021-10-19,2021-10-19,1962-01-05,4.07
4,2021-10-19,2021-10-19,1962-01-08,4.08
5,2021-10-19,2021-10-19,1962-01-09,4.08
6,2021-10-19,2021-10-19,1962-01-10,4.09
7,2021-10-19,2021-10-19,1962-01-11,4.08
8,2021-10-19,2021-10-19,1962-01-12,4.09
9,2021-10-19,2021-10-19,1962-01-15,4.1
10,2021-10-19,2021-10-19,1962-01-16,4.11
11,2021-10-19,2021-10-19,1962-01-17,4.1
12,2021-10-19,2021-10-19,1962-01-18,4.1
13,2021-10-19,2021-10-19,1962-01-19,4.1
14,2021-10-19,2021-10-19,1962-01-22,4.09
15,2021-10-19,2021-10-19,1962-01-23,4.1
16,2021-10-19,2021-10-19,1962-01-24,4.1
17,2021-10-19,2021-10-19,1962-01-25,4.12
18,2021-10-19,2021-10-19,1962-01-26,4.12
19,2021-10-19,2021-10-19,1962-01-29,4.13
20,2021-10-19,2021-10-19,1962-01-30,4.13
21,2021-10-19,2021-10-19,1962-01-31,4.13
22,2021-10-19,2021-10-19,1962-02-01,4.13
23,2021-10-19,2021-10-19,1962-02-02,4.13
24,2021-10-19,2021-10-19,1962-02-05,4.12
25,2021-10-19,2021-10-19,1962-02-06,4.13
26,2021-10-19,2021-10-19,1962-02-07,4.13
27,2021-10-19,2021-10-19,1962-02-08,4.12
28,2021-10-19,2021-10-19,1962-02-09,4.11
30,2021-10-19,2021-10-19,1962-02-13,4.1
31,2021-10-19,2021-10-19,1962-02-14,4.09
32,2021-10-19,2021-10-19,1962-02-15,4.1
33,2021-10-19,2021-10-19,1962-02-16,4.12
34,2021-10-19,2021-10-19,1962-02-19,4.11
35,2021-10-19,2021-10-19,1962-02-20,4.15
36,2021-10-19,2021-10-19,1962-02-21,4.13
38,2021-10-19,2021-10-19,1962-02-23,4.12
39,2021-10-19,2021-10-19,1962-02-26,4.11
40,2021-10-19,2021-10-19,1962-02-27,4.12
41,2021-10-19,2021-10-19,1962-02-28,4.1
42,2021-10-19,2021-10-19,1962-03-01,4.09
43,2021-10-19,2021-10-19,1962-03-02,4.09
44,2021-10-19,2021-10-19,1962-03-05,4.1
45,2021-10-19,2021-10-19,1962-03-06,4.1
46,2021-10-19,2021-10-19,1962-03-07,4.09
47,2021-10-19,2021-10-19,1962-03-08,4.08
48,2021-10-19,2021-10-19,1962-03-09,4.07
49,2021-10-19,2021-10-19,1962-03-12,4.06
50,2021-10-19,2021-10-19,1962-03-13,4.04
51,2021-10-19,2021-10-19,1962-03-14,4.04
52,2021-10-19,2021-10-19,1962-03-15,4.06
53,2021-10-19,2021-10-19,1962-03-16,4.05
54,2021-10-19,2021-10-19,1962-03-19,4.04
55,2021-10-19,2021-10-19,1962-03-20,4.02
56,2021-10-19,2021-10-19,1962-03-21,4.01
57,2021-10-19,2021-10-19,1962-03-22,3.97
58,2021-10-19,2021-10-19,1962-03-23,3.99
59,2021-10-19,2021-10-19,1962-03-26,4.01
60,2021-10-19,2021-10-19,1962-03-27,4.0
61,2021-10-19,2021-10-19,1962-03-28,4.0
62,2021-10-19,2021-10-19,1962-03-29,3.99
63,2021-10-19,2021-10-19,1962-03-30,3.98
