,realtime_start,realtime_end,date,value
118,2021-10-19,2021-10-19,1997-06-12,1.56
119,2021-10-19,2021-10-19,1997-06-13,1.56
120,2021-10-19,2021-10-19,1997-06-16,1.53
121,2021-10-19,2021-10-19,1997-06-17,1.53
122,2021-10-19,2021-10-19,1997-06-18,1.55
123,2021-10-19,2021-10-19,1997-06-19,1.55
124,2021-10-19,2021-10-19,1997-06-20,1.58
125,2021-10-19,2021-10-19,1997-06-23,1.54
126,2021-10-19,2021-10-19,1997-06-24,1.54
127,2021-10-19,2021-10-19,1997-06-25,1.55
128,2021-10-19,2021-10-19,1997-06-26,1.56
129,2021-10-19,2021-10-19,1997-06-27,1.57
130,2021-10-19,2021-10-19,1997-06-30,1.52
131,2021-10-19,2021-10-19,1997-07-01,1.54
132,2021-10-19,2021-10-19,1997-07-02,1.53
133,2021-10-19,2021-10-19,1997-07-03,1.62
134,2021-10-19,2021-10-19,1997-07-04,.
135,2021-10-19,2021-10-19,1997-07-07,1.61
136,2021-10-19,2021-10-19,1997-07-08,1.60
137,2021-10-19,2021-10-19,1997-07-09,1.59
138,2021-10-19,2021-10-19,1997-07-10,1.58
139,2021-10-19,2021-10-19,1997-07-11,1.55
140,2021-10-19,2021-10-19,1997-07-14,1.49
141,2021-10-19,2021-10-19,1997-07-15,1.48
142,2021-10-19,2021-10-19,1997-07-16,1.48
143,2021-10-19,2021-10-19,1997-07-17,1.49
144,2021-10-19,2021-10-19,1997-07-18,1.48
145,2021-10-19,2021-10-19,1997-07-21,1.46
146,2021-10-19,2021-10-19,1997-07-22,1.49
147,2021-10-19,2021-10-19,1997-07-23,1.44
148,2021-10-19,2021-10-19,1997-07-24,1.45
149,2021-10-19,2021-10-19,1997-07-25,1.44
150,2021-10-19,2021-10-19,1997-07-28,1.45
151,2021-10-19,2021-10-19,1997-07-29,1.46
152,2021-10-19,2021-10-19,1997-07-30,1.49
153,2021-10-19,2021-10-19,1997-07-31,1.51
154,2021-10-19,2021-10-19,1997-08-01,1.41
155,2021-10-19,2021-10-19,1997-08-04,1.41
156,2021-10-19,2021-10-19,1997-08-05,1.41
157,2021-10-19,2021-10-19,1997-08-06,1.43
158,2021-10-19,2021-10-19,1997-08-07,1.41
159,2021-10-19,2021-10-19,1997-08-08,1.36
160,2021-10-19,2021-10-19,1997-08-11,1.36
161,2021-10-19,2021-10-19,1997-08-12,1.39
162,2021-10-19,2021-10-19,1997-08-13,1.39
163,2021-10-19,2021-10-19,1997-08-14,1.37
164,2021-10-19,2021-10-19,1997-08-15,1.41
165,2021-10-19,2021-10-19,1997-08-18,1.45
166,2021-10-19,2021-10-19,1997-08-19,1.45
167,2021-10-19,2021-10-19,1997-08-20,1.45
168,2021-10-19,2021-10-19,1997-08-21,1.43
169,2021-10-19,2021-10-19,1997-08-22,1.38
170,2021-10-19,2021-10-19,1997-08-25,1.37
171,2021-10-19,2021-10-19,1997-08-26,1.38
172,2021-10-19,2021-10-19,1997-08-27,1.37
173,2021-10-19,2021-10-19,1997-08-28,1.43
174,2021-10-19,2021-10-19,1997-08-29,1.41
175,2021-10-19,2021-10-19,1997-08-31,1.44
176,2021-10-19,2021-10-19,1997-09-01,.
177,2021-10-19,2021-10-19,1997-09-02,1.46
178,2021-10-19,2021-10-19,1997-09-03,1.44
179,2021-10-19,2021-10-19,1997-09-04,1.44
