,RunDate,PeriodEndDate,FeatureLag,n_estimators,max_depth,max_features,random_state,verbose,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Sortino Ratio,Alpha,Beta
0,2021-10-19,2021-10-18,1,500,5000,auto,0,1,0.12564112056266352,0.1725128303547013,0.773464924890051,0.41875271739719844,-0.3000365498368563,1.0401224206253321,-0.0031456367042048683,0.581448848443686
1,2021-10-19,2021-10-18,2,500,5000,auto,0,1,0.08057754444532184,0.16092662668979615,0.5625053978227396,0.3383862154964433,-0.2381230107943589,0.7709282111500815,-0.027912058894636105,0.5058695566435063
2,2021-10-19,2021-10-18,3,500,5000,auto,0,1,0.03408802432903024,0.1990814064472623,0.26873142144663575,0.09915314766418414,-0.3437916509164281,0.36241411775342125,-0.12065541444843975,0.774984756667757
3,2021-10-19,2021-10-18,4,500,5000,auto,0,1,0.29463869246663554,0.1873788800834958,1.472161202949245,1.5507809543109585,-0.18999375227531673,2.2438351838828057,0.12096580408347823,0.6880986826124426
4,2021-10-19,2021-10-18,5,500,5000,auto,0,1,0.03323231434987739,0.19830900180710515,0.2647773517856627,0.11694564786604511,-0.28416888491603554,0.35943847988432814,-0.12028827679572984,0.768986880069934
5,2021-10-19,2021-10-18,6,500,5000,auto,0,1,0.11211511683167497,0.15978215856112543,0.7456680009931038,0.4563042795786248,-0.24570253194909308,1.0116269557302398,0.002017696672013791,0.49862933201250065
6,2021-10-19,2021-10-18,7,500,5000,auto,0,1,0.11676593582302952,0.18781116855856872,0.6820406178022183,0.43397072629994843,-0.26906408369656754,0.9753689662375079,-0.03326627110214475,0.6893304800553177
7,2021-10-19,2021-10-18,8,500,5000,auto,0,1,0.16576605265922195,0.15960166004488624,1.0416505220530683,0.7506468840489807,-0.2208309342004882,1.4351256715183327,0.05057448857545732,0.49768597972040884
8,2021-10-19,2021-10-18,9,500,5000,auto,0,1,-0.046238364887456695,0.17351073078127216,-0.18408219283835758,-0.1031927802507114,-0.44807751836047593,-0.2214783282411572,-0.15681745769608402,0.5899232808840296
9,2021-10-19,2021-10-18,10,500,5000,auto,0,1,0.024090120768226475,0.1877249867259336,0.2220564579792908,0.07488991331302212,-0.32167377023839605,0.2855612421553496,-0.11327633831487915,0.6891346831338936
10,2021-10-19,2021-10-18,11,500,5000,auto,0,1,0.15802888911753588,0.18160705128646654,0.8988083791609802,0.6773514807220152,-0.2333041170133514,1.3186030108819624,0.01187618286362535,0.64462533317225
