,realtime_start,realtime_end,date,value
103,2021-10-19,2021-10-19,1997-05-23,6.41
104,2021-10-19,2021-10-19,1997-05-26,.
105,2021-10-19,2021-10-19,1997-05-27,6.39
106,2021-10-19,2021-10-19,1997-05-28,6.66
107,2021-10-19,2021-10-19,1997-05-29,6.40
108,2021-10-19,2021-10-19,1997-05-30,6.44
109,2021-10-19,2021-10-19,1997-05-31,6.45
110,2021-10-19,2021-10-19,1997-06-02,6.45
111,2021-10-19,2021-10-19,1997-06-03,6.44
112,2021-10-19,2021-10-19,1997-06-04,6.36
113,2021-10-19,2021-10-19,1997-06-05,6.33
114,2021-10-19,2021-10-19,1997-06-06,6.32
115,2021-10-19,2021-10-19,1997-06-09,6.15
116,2021-10-19,2021-10-19,1997-06-10,6.10
117,2021-10-19,2021-10-19,1997-06-11,6.10
118,2021-10-19,2021-10-19,1997-06-12,6.21
119,2021-10-19,2021-10-19,1997-06-13,6.26
120,2021-10-19,2021-10-19,1997-06-16,6.19
121,2021-10-19,2021-10-19,1997-06-17,6.17
122,2021-10-19,2021-10-19,1997-06-18,6.23
123,2021-10-19,2021-10-19,1997-06-19,6.25
124,2021-10-19,2021-10-19,1997-06-20,6.30
125,2021-10-19,2021-10-19,1997-06-23,6.29
126,2021-10-19,2021-10-19,1997-06-24,6.31
127,2021-10-19,2021-10-19,1997-06-25,6.27
128,2021-10-19,2021-10-19,1997-06-26,6.35
129,2021-10-19,2021-10-19,1997-06-27,6.35
130,2021-10-19,2021-10-19,1997-06-30,6.64
131,2021-10-19,2021-10-19,1997-07-01,6.68
132,2021-10-19,2021-10-19,1997-07-02,6.71
133,2021-10-19,2021-10-19,1997-07-03,6.83
134,2021-10-19,2021-10-19,1997-07-04,.
135,2021-10-19,2021-10-19,1997-07-07,6.84
136,2021-10-19,2021-10-19,1997-07-08,6.78
137,2021-10-19,2021-10-19,1997-07-09,6.73
138,2021-10-19,2021-10-19,1997-07-10,6.72
139,2021-10-19,2021-10-19,1997-07-11,6.73
140,2021-10-19,2021-10-19,1997-07-14,6.68
141,2021-10-19,2021-10-19,1997-07-15,6.67
142,2021-10-19,2021-10-19,1997-07-16,6.70
143,2021-10-19,2021-10-19,1997-07-17,6.66
144,2021-10-19,2021-10-19,1997-07-18,6.64
145,2021-10-19,2021-10-19,1997-07-21,6.70
146,2021-10-19,2021-10-19,1997-07-22,6.80
147,2021-10-19,2021-10-19,1997-07-23,6.77
148,2021-10-19,2021-10-19,1997-07-24,6.75
149,2021-10-19,2021-10-19,1997-07-25,6.75
150,2021-10-19,2021-10-19,1997-07-28,6.78
151,2021-10-19,2021-10-19,1997-07-29,6.88
152,2021-10-19,2021-10-19,1997-07-30,6.91
153,2021-10-19,2021-10-19,1997-07-31,6.53
154,2021-10-19,2021-10-19,1997-08-01,6.35
155,2021-10-19,2021-10-19,1997-08-04,6.35
156,2021-10-19,2021-10-19,1997-08-05,6.34
157,2021-10-19,2021-10-19,1997-08-06,6.29
158,2021-10-19,2021-10-19,1997-08-07,6.21
159,2021-10-19,2021-10-19,1997-08-08,6.42
160,2021-10-19,2021-10-19,1997-08-11,6.44
161,2021-10-19,2021-10-19,1997-08-12,6.40
162,2021-10-19,2021-10-19,1997-08-13,6.43
163,2021-10-19,2021-10-19,1997-08-14,6.19
164,2021-10-19,2021-10-19,1997-08-15,6.17
165,2021-10-19,2021-10-19,1997-08-18,6.26
166,2021-10-19,2021-10-19,1997-08-19,6.26
167,2021-10-19,2021-10-19,1997-08-20,6.21
168,2021-10-19,2021-10-19,1997-08-21,6.15
169,2021-10-19,2021-10-19,1997-08-22,6.42
170,2021-10-19,2021-10-19,1997-08-25,6.38
171,2021-10-19,2021-10-19,1997-08-26,6.40
172,2021-10-19,2021-10-19,1997-08-27,6.39
173,2021-10-19,2021-10-19,1997-08-28,6.13
174,2021-10-19,2021-10-19,1997-08-29,6.09
175,2021-10-19,2021-10-19,1997-08-31,6.08
176,2021-10-19,2021-10-19,1997-09-01,.
177,2021-10-19,2021-10-19,1997-09-02,6.05
178,2021-10-19,2021-10-19,1997-09-03,6.29
179,2021-10-19,2021-10-19,1997-09-04,6.25
180,2021-10-19,2021-10-19,1997-09-05,6.23
181,2021-10-19,2021-10-19,1997-09-08,6.20
182,2021-10-19,2021-10-19,1997-09-09,6.16
183,2021-10-19,2021-10-19,1997-09-10,6.06
184,2021-10-19,2021-10-19,1997-09-11,6.05
185,2021-10-19,2021-10-19,1997-09-12,6.11
186,2021-10-19,2021-10-19,1997-09-15,6.09
187,2021-10-19,2021-10-19,1997-09-16,5.82
188,2021-10-19,2021-10-19,1997-09-17,5.77
189,2021-10-19,2021-10-19,1997-09-18,5.66
190,2021-10-19,2021-10-19,1997-09-19,5.66
191,2021-10-19,2021-10-19,1997-09-22,5.69
192,2021-10-19,2021-10-19,1997-09-23,5.65
193,2021-10-19,2021-10-19,1997-09-24,5.65
194,2021-10-19,2021-10-19,1997-09-25,5.56
195,2021-10-19,2021-10-19,1997-09-26,5.61
196,2021-10-19,2021-10-19,1997-09-29,5.58
197,2021-10-19,2021-10-19,1997-09-30,5.70
198,2021-10-19,2021-10-19,1997-10-01,5.72
199,2021-10-19,2021-10-19,1997-10-02,5.71
200,2021-10-19,2021-10-19,1997-10-03,5.68
201,2021-10-19,2021-10-19,1997-10-06,5.66
202,2021-10-19,2021-10-19,1997-10-07,5.64
203,2021-10-19,2021-10-19,1997-10-08,5.46
204,2021-10-19,2021-10-19,1997-10-09,5.47
205,2021-10-19,2021-10-19,1997-10-10,5.47
206,2021-10-19,2021-10-19,1997-10-13,5.47
207,2021-10-19,2021-10-19,1997-10-14,5.47
208,2021-10-19,2021-10-19,1997-10-15,5.36
209,2021-10-19,2021-10-19,1997-10-16,5.30
210,2021-10-19,2021-10-19,1997-10-17,5.24
211,2021-10-19,2021-10-19,1997-10-20,5.29
212,2021-10-19,2021-10-19,1997-10-21,5.32
213,2021-10-19,2021-10-19,1997-10-22,5.32
214,2021-10-19,2021-10-19,1997-10-23,5.43
215,2021-10-19,2021-10-19,1997-10-24,5.45
216,2021-10-19,2021-10-19,1997-10-27,5.95
217,2021-10-19,2021-10-19,1997-10-28,5.99
218,2021-10-19,2021-10-19,1997-10-29,5.98
219,2021-10-19,2021-10-19,1997-10-30,6.05
220,2021-10-19,2021-10-19,1997-10-31,7.01
221,2021-10-19,2021-10-19,1997-11-03,6.92
222,2021-10-19,2021-10-19,1997-11-04,6.51
223,2021-10-19,2021-10-19,1997-11-05,6.41
